,open,high,low,close,volume,return,ma5,ma10,volatility
2025-08-06,530.9,531.7,524.03,524.94,21355702.0,-0.005324490762671608,529.188,520.884,0.024919183435429985
2025-08-07,526.8,528.09,517.5511,520.84,16079144.0,-0.007810416428544298,526.6560000000001,521.88,0.015731677923246354
2025-08-08,522.6,524.66,519.41,522.04,15531009.0,0.002303970509177411,526.242,522.713,0.014080684690563644
2025-08-11,522.3,527.59,519.72,521.77,20194372.0,-0.0005172017469925461,523.4680000000001,523.64,0.0066311468392672894
2025-08-12,523.75,530.98,522.7,529.24,18688921.0,0.014316652931368301,523.766,525.307,0.008633260101352801
2025-08-13,532.11,532.7,519.37,520.58,19619160.0,-0.01636308669034836,522.894,526.0409999999999,0.011470290938902951
2025-08-14,522.56,525.9499,520.14,522.48,20269074.0,0.003649775250681886,523.222,524.939,0.011060235359398464
2025-08-15,522.77,526.1,519.08,520.17,25213272.0,-0.004421221864951863,522.848,524.545,0.011220830656084143
2025-08-18,521.585,522.82,514.02,517.1,23760583.0,-0.005901916681084862,521.914,522.691,0.011458739761961623
2025-08-19,515.0,515.1641,508.55,509.77,21481016.0,-0.014175207890156694,518.0200000000001,520.8929999999999,0.008053668590479337
2025-08-20,509.865,511.0,504.44,505.72,27723025.0,-0.007944759401298573,515.048,518.971,0.006440986455650686
2025-08-21,503.69,507.63,502.7201,504.24,18443254.0,-0.0029265206042869973,511.4,517.3109999999999,0.004381722603166397
2025-08-22,504.25,510.73,502.41,507.23,24324161.0,0.005929716008250097,508.81200000000007,515.83,0.007372710499397001
2025-08-25,506.63,508.19,504.12,504.26,21638579.0,-0.005855331900715743,506.244,514.0790000000001,0.007371321007886419
2025-08-26,504.355,504.9778,498.51,502.04,30835709.0,-0.004402490778566581,504.69800000000004,511.35900000000004,0.005345741819059589
2025-08-27,502.0,507.29,499.9,506.74,17277893.0,0.009361803840331362,504.90200000000004,509.975,0.00678506123845491
2025-08-28,507.09,511.09,505.5,509.64,18015593.0,0.005722855902435153,505.98199999999997,508.691,0.006820596247566514
2025-08-29,508.66,509.6,504.4915,506.69,20961569.0,-0.005788399654658161,505.87399999999997,507.343,0.007200380850803677
2025-09-02,500.465,506.0,496.81,505.12,18127995.0,-0.00309854151453548,506.046,506.145,0.006749784022329862
2025-09-03,503.79,507.79,502.32,505.35,15995154.0,0.0004553373455813414,506.70799999999997,505.7030000000001,0.0062220511567695515
2025-09-04,504.3,508.15,503.15,507.97,15509486.0,0.005184525576333199,506.954,505.928,0.005042775830575952
2025-09-05,509.07,511.97,492.37,495.0,31994846.0,-0.025533003917554198,504.026,505.004,0.011794795788823646
2025-09-08,498.105,501.195,495.03,498.2,16771015.0,0.006464646464646506,502.328,504.101,0.012997932104222372
2025-09-09,501.43,502.25,497.7,498.41,14410542.0,0.00042151746286633873,500.98600000000005,503.51599999999996,0.01310681089165081
2025-09-10,502.98,503.2299,496.72,500.37,21611816.0,0.0039325053670671295,499.99000000000007,503.349,0.013398545366557362
2025-09-11,502.25,503.17,497.88,501.01,18881608.0,0.0012790535004096881,498.59799999999996,502.776,0.012989446105287367
2025-09-12,506.65,512.55,503.85,509.9,23624884.0,0.01774415680325747,501.578,502.802,0.006996739459752364
2025-09-15,508.79,515.47,507.0,515.36,17143786.0,0.010707981957246648,505.01000000000005,503.669,0.00732178007706916
2025-09-16,516.88,517.23,508.6,509.04,19711922.0,-0.012263272275690795,507.13599999999997,504.061,0.011240649007399094
2025-09-17,510.62,511.29,505.93,510.02,15816585.0,0.0019251925192518282,509.066,504.52799999999996,0.011291895398181444
2025-09-18,511.49,513.07,507.66,508.45,18913696.0,-0.003078310654484162,510.554,504.576,0.011703326900910952
2025-09-19,510.56,519.3,510.31,517.93,52474093.0,0.018644901170223216,512.1600000000001,506.869,0.011990298858375282
2025-09-22,515.59,517.74,512.545,514.45,20009314.0,-0.006719054698511195,511.97799999999995,508.49399999999997,0.011788807202930388
2025-09-23,513.8,514.5899,507.31,509.23,19799580.0,-0.010146758674312473,512.016,509.576,0.011278727126784028
2025-09-24,510.38,512.48,506.92,510.15,13533711.0,0.0018066492547570423,512.042,510.554,0.011274121129705925
2025-09-25,508.3,510.01,505.04,507.03,15786468.0,-0.006115848279917735,511.758,511.15599999999995,0.011566352454765403
2025-09-26,510.06,513.94,506.62,511.46,16213129.0,0.008737155592371204,510.46400000000006,511.312,0.007651271476214331
2025-09-29,511.5,516.845,508.88,514.6,17617775.0,0.006139287529816739,510.494,511.23600000000005,0.00802523630381602
2025-09-30,513.24,518.16,509.66,517.95,19728229.0,0.00650991061018269,512.238,512.1270000000001,0.0058895970682536275
2025-10-01,514.8,520.505,511.69,519.71,22632336.0,0.0033980113910609955,514.15,513.096,0.005823552454066957
2025-10-02,517.64,521.6,510.6791,515.74,21222886.0,-0.007638875526736144,515.892,513.825,0.006471340923570373
2025-10-03,517.1,520.49,515.0,517.35,15112321.0,0.003121728002482005,517.07,513.767,0.005768999219934132
2025-10-06,518.61,531.03,518.2,528.57,21388581.0,0.021687445636416447,519.8639999999999,515.179,0.010556068396085076
2025-10-07,528.285,529.8,521.44,523.98,14615208.0,-0.008683807253533127,521.07,516.654,0.01221832245392841
2025-10-08,523.28,526.95,523.09,524.85,13363447.0,0.0016603687163632141,522.0980000000001,518.124,0.01220672441843877
2025-10-09,522.335,524.325,517.4,522.4,18343602.0,-0.004668000381061299,523.43,519.6610000000001,0.011679373392460108
2025-10-10,519.64,523.58,509.63,510.96,24133840.0,-0.02189892802450233,522.1519999999999,519.6110000000001,0.01598067583034552
2025-10-13,516.41,516.41,511.68,514.05,14284238.0,0.006047440112728841,519.2479999999999,519.5559999999999,0.010774594854507963
2025-10-14,510.225,515.282,506.0,513.57,14684300.0,-0.0009337613072656348,517.166,519.118,0.010761063095886791
2025-10-15,514.955,517.19,510.0,513.43,14694654.0,-0.00027260159277231466,514.882,518.49,0.010541210887432748
2025-10-16,512.58,516.85,508.13,511.61,15559565.0,-0.0035447870206258836,512.724,518.077,0.010544578941776036
2025-10-17,509.04,515.48,507.31,513.58,19867765.0,0.0038505893160807325,513.248,517.7,0.003860447936859452
2025-10-20,514.61,518.7,513.43,516.79,14665620.0,0.0062502433895399445,513.796,516.522,0.003926846577044898
2025-10-21,517.5,518.69,513.04,517.66,15586204.0,0.0016834691073743802,514.6139999999999,515.89,0.0037640448393013665
2025-10-22,521.15,525.23,517.71,520.54,18962694.0,0.005563497276204421,516.036,515.4590000000001,0.003941447617182724
2025-10-23,522.46,523.95,518.61,520.56,14023532.0,3.842163906697671e-05,517.8259999999999,515.275,0.0026088547615462226
2025-10-24,522.79,525.345,520.71,523.61,15532360.0,0.005859074842477385,519.832,516.54,0.002826279387174625
2025-10-27,531.78,534.58,529.01,531.52,18734716.0,0.015106663356314831,522.778,518.287,0.005845999820711158
2025-10-28,550.0,553.72,540.77,542.07,29986683.0,0.01984873570138479,527.6600000000001,521.137,0.008008901586348859
2025-10-29,544.94,546.27,536.7287,541.55,36023004.0,-0.0009592857011089251,531.862,523.9490000000001,0.00920779600134359
2025-10-30,530.48,534.97,522.12,525.76,41023088.0,-0.02915704921059914,532.902,525.3639999999999,0.019265747175210575
2025-10-31,528.875,529.32,515.1,517.81,34006424.0,-0.01512096774193561,531.742,525.787,0.020498399276355123
2025-11-03,519.805,524.96,514.59,517.03,22374742.0,-0.0015063440258009653,528.8439999999999,525.8109999999999,0.01824329703714662
2025-11-04,511.76,515.55,507.84,514.33,20958663.0,-0.005222134112140342,523.2959999999999,525.478,0.01192841875031791
2025-11-05,513.3,514.83,506.575,507.16,22883851.0,-0.013940466237629567,516.418,524.14,0.010712515844828473
2025-11-06,505.66,505.7,495.81,497.1,27406496.0,-0.019835949207350767,510.686,521.794,0.007535542659864375
2025-11-07,496.945,499.377,493.25,496.82,24019764.0,-0.0005632669483002228,506.488,519.115,0.008371674633246054
2025-11-10,500.035,506.85,498.8,506.0,26101480.0,0.018477517008171906,504.28200000000004,516.5629999999999,0.014730058824973007
2025-11-11,504.8,509.6,502.3488,508.68,17980020.0,0.005296442687747094,503.15200000000004,513.2239999999999,0.015291033240452567
2025-11-12,509.355,511.67,499.1201,511.14,26574851.0,0.004836046237320035,503.948,510.183,0.013902850606967875
2025-11-13,510.31,513.5,501.29,503.29,25273114.0,-0.015357827601048535,505.18600000000004,507.93600000000004,0.01221512102885499
2025-11-14,498.23,511.6,497.44,510.18,28505746.0,0.013689920324266192,507.858,507.17299999999994,0.012951445230618142
2025-11-17,508.45,512.12,504.91,507.49,19092752.0,-0.005272648869026564,508.15599999999995,506.21900000000005,0.011185700409283263
2025-11-18,495.365,502.98,486.78,493.79,33815114.0,-0.02699560582474525,505.17800000000005,504.1650000000001,0.016076880474157024
2025-11-19,490.1,495.1872,482.83,487.12,23245314.0,-0.013507766459426085,500.37399999999997,502.16100000000006,0.015100619464097584
2025-11-20,492.71,493.57,475.5,478.43,26802542.0,-0.017839546723599886,495.40200000000004,500.29400000000004,0.015379959393182766
2025-11-21,478.5,478.92,468.27,472.12,31769248.0,-0.013188972263445065,487.78999999999996,497.82400000000007,0.007928339266549702
2025-11-24,475.0,476.9,468.02,474.0,34421046.0,0.003982038464797055,481.092,494.6240000000001,0.01125478801153298
2025-11-25,474.07,479.15,464.89,476.99,28019793.0,0.006308016877637046,477.73199999999997,491.45500000000004,0.011132666160760545
2025-11-26,486.31,488.31,481.2,485.5,25709079.0,0.01784104488563698,477.408,488.89099999999996,0.014700935339727939
2025-11-28,487.595,492.63,486.65,492.01,14386730.0,0.013408856848609707,480.12399999999997,487.76300000000003,0.011905265150883425
2025-12-01,488.435,489.8599,484.6475,486.74,23963993.0,-0.010711164407227414,483.04799999999994,485.41900000000004,0.010936112007118044
2025-12-02,486.715,493.4999,486.32,490.0,19562722.0,0.006697620906438662,486.24799999999993,483.66999999999996,0.010867768284848383
2025-12-03,476.32,484.24,475.2,477.73,34615102.0,-0.025040816326530546,486.396,482.06399999999996,0.017914839483015647
2025-12-04,479.76,481.322,476.49,480.84,22318155.0,0.00650995332091342,485.46399999999994,481.436,0.015748927993525674
2025-12-05,482.515,483.4,478.8801,483.16,22608710.0,0.004824889776225083,483.69399999999996,481.90899999999993,0.014048954142809178
2025-12-08,484.885,492.3,484.38,491.02,20668450.0,0.016267902972100234,484.55,483.799,0.015692804666179345
2025-12-09,489.1,492.12,488.5001,492.02,14092776.0,0.002036576921510269,484.954,485.60099999999994,0.015469846442765325
2025-12-10,484.03,484.25,475.08,478.56,35756229.0,-0.02735661151985691,485.12,485.758,0.016445313966116527
2025-12-11,476.63,486.03,475.86,483.47,24669180.0,0.010259946506185225,485.646,485.555,0.016870416896775757
2025-12-12,479.82,482.45,476.34,478.53,21248102.0,-0.010217800484001227,484.71999999999997,484.207,0.01739691414762127
